timestamp,bytesRead,bytesWritten,operationRead,operationWrite,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead
1687960690000,832678,0,9,0,0,0,0,0,0,0,0,9
1687960695000,0,0,0,0,0,0,0,0,0,0,0,0
1687960700000,0,0,0,0,0,0,0,0,0,0,0,0
1687960705000,0,0,0,0,0,0,0,0,0,0,0,0
1687960710000,0,0,0,0,0,0,0,0,0,0,0,0
1687960715000,35936,131072,13,2,0,0,0,2,0,0,0,13
1687960720000,218,872448408,2,90,0,0,80,10,0,0,0,2
1687960725000,3546,707461608,10,82,0,0,40,42,0,0,0,10
1687960730000,158,791280104,2,87,0,0,80,8,0,0,0,2
1687960735000,158,770243048,2,84,0,0,80,4,0,0,0,2
1687960740000,158,759822824,2,84,0,0,40,43,0,0,0,2
1687960745000,158,759757288,2,83,0,0,40,43,0,0,0,2
1687960750000,158,837769738,2,92,0,0,80,12,0,0,0,2
1687960755000,0,837704202,0,91,0,0,80,12,0,0,0,2
1687960760000,316,905230892,4,99,0,0,80,18,0,0,0,2
1687960765000,158,905230892,2,99,0,0,80,19,0,0,0,2
1687960770000,0,887546298,0,93,0,0,80,13,0,0,0,0
1687960775000,158,18802800,2,36,0,0,0,36,0,0,0,2
