,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount,event_type,event_message
0,1657198775.0,0,0,1,0,notice,Job starting
1,1657198780.0,2194490355,4149,12,12,,
2,1657198785.0,0,0,12,0,,
3,1657198790.0,0,0,12,0,,
4,1657198795.0,0,0,12,0,,
5,1657198800.0,0,0,12,0,,
6,1657198805.0,0,0,12,0,,
7,1657198810.0,0,181,13,1,custom,Start IO phase
8,1657198815.0,0,0,12,0,,
9,1657198820.0,0,0,12,0,,
10,1657198825.0,0,374,13,1,custom,Start IO phase
11,1657198830.0,12,891734308,13,7,custom,End IO phase
12,1657198835.0,0,836203424,12,6,,
13,1657198840.0,12,62324366,13,1,custom,Start IO phase
13,1657198840.0,12,62324366,13,1,custom,End IO phase
14,1657198845.0,0,1060835552,12,8,,
15,1657198850.0,0,604777920,12,4,,
16,1657198855.0,0,0,12,0,,
17,1657198860.0,12,286956260,13,3,custom,Start IO phase
17,1657198860.0,12,286956260,13,3,custom,End IO phase
18,1657198865.0,0,1440981584,12,10,,
19,1657198870.0,0,0,12,0,,
20,1657198875.0,0,0,12,0,,
21,1657198880.0,12,1548350600,13,11,custom,Start IO phase
21,1657198880.0,12,1548350600,13,11,custom,End IO phase
22,1657198885.0,0,179587505,13,4,custom,Start IO phase
22,1657198885.0,0,179587505,13,4,custom,End IO phase
23,1657198890.0,0,1382349896,12,12,,
