,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount
0,1578457795.0,8419622,5326168,12,12
1,1578457800.0,14120150,33068580,12,10
2,1578457805.0,25123014,73718411,12,10
3,1578457810.0,0,42067214,10,8
4,1578457815.0,0,43415741,9,7
5,1578457820.0,0,39079032,9,7
6,1578457825.0,0,19204163,7,5
7,1578457830.0,0,11693661,7,5
8,1578457835.0,0,11191505,7,5
9,1578457840.0,0,17794806,7,5
10,1578457845.0,0,12256739,7,5
11,1578457850.0,0,9045658,5,3
12,1578457855.0,0,10721933,5,3
13,1578457860.0,0,4897731,4,2
14,1578457865.0,0,3499088,4,2
15,1578457870.0,0,3207803,3,1
16,1578457875.0,0,2696343,3,1
17,1578457880.0,0,3342642,3,1
18,1578457885.0,93691523,3676145,18,17
19,1578457890.0,72831236,43713155,17,15
20,1578457895.0,3826899,47576435,14,12
21,1578457900.0,9829301,90606733,14,12
22,1578457905.0,10936486,77655253,13,11
23,1578457910.0,6255384,75487230,13,11
24,1578457915.0,0,17539498,7,5
25,1578457920.0,0,14972723,7,5
26,1578457925.0,0,16343069,7,5
27,1578457930.0,0,9816493,7,5
28,1578457935.0,0,14389077,7,5
29,1578457940.0,0,17887905,7,5
30,1578457945.0,0,20082106,7,5
31,1578457950.0,0,8593287,7,5
32,1578457955.0,0,11060167,5,3
33,1578457960.0,0,8889613,5,3
34,1578457965.0,0,10451777,5,3
35,1578457970.0,0,10476128,5,3
36,1578457975.0,0,5408563,4,2
37,1578457980.0,0,5138746,3,1
38,1578457985.0,686100,3680906,12,11
39,1578457990.0,86955678,23732530,12,10
40,1578457995.0,65807078,34655496,12,10
41,1578458000.0,9559862,45001180,9,7
42,1578458005.0,6100620,36068500,9,7
43,1578458010.0,0,19717086,7,5
44,1578458015.0,0,12502671,5,3
45,1578458020.0,0,12216844,5,3
46,1578458025.0,0,15545906,5,3
47,1578458030.0,0,8993912,5,3
48,1578458035.0,0,9408353,4,2
49,1578458040.0,0,7110166,4,2
50,1578458045.0,0,4203548,3,1
51,1578458050.0,0,5112718,3,1
52,1578458055.0,0,5734585,3,1
53,1578458060.0,130355500,12743845,12,10
54,1578458065.0,33094134,40467940,9,7
55,1578458070.0,0,13129635,5,3
56,1578458075.0,0,21999053,5,3
57,1578458080.0,0,24423577,4,2
58,1578458085.0,0,7074681,4,2
59,1578458090.0,0,12118344,3,1
60,1578458095.0,0,1676917,3,2
