,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
0,dataset_oth_db,1391,bytesWritten,1526,123,Pelt,L1,8996290918.0,0.001,0.6353271007537842
1,dataset_oth_db,1391,bytesWritten,1526,123,Pelt,L1,8996290918.0,0.015848931924611134,0.6412577629089355
2,dataset_oth_db,1391,bytesWritten,1526,123,Pelt,L1,8996290918.0,0.25118864315095796,0.6382179260253906
3,dataset_oth_db,1391,bytesWritten,1526,123,Pelt,L1,8996290918.0,3.981071705534969,0.6398916244506836
4,dataset_oth_db,1391,bytesWritten,1526,123,Pelt,L1,8996290918.0,63.0957344480193,0.6389703750610352
5,dataset_oth_db,1391,bytesWritten,1526,123,Pelt,L1,8996290918.0,1000.0,0.6362886428833008
6,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,L2,4.271078373412319e+18,0.001,0.4653642177581787
7,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,L2,4.271078373412319e+18,0.015848931924611134,0.4643409252166748
8,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,L2,4.271078373412319e+18,0.25118864315095796,0.4648172855377197
9,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,L2,4.271078373412319e+18,3.981071705534969,0.4680659770965576
10,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,L2,4.271078373412319e+18,63.0957344480193,0.46421217918395996
11,dataset_oth_db,1391,bytesWritten,1526,137,Pelt,L2,4.271078373412319e+18,1000.0,0.465831995010376
12,dataset_oth_db,1391,bytesWritten,1526,138,Pelt,Gauss,7317.567841179694,0.001,0.4667503833770752
13,dataset_oth_db,1391,bytesWritten,1526,135,Pelt,Gauss,7317.596169736706,0.015848931924611134,0.2913236618041992
14,dataset_oth_db,1391,bytesWritten,1526,109,Pelt,Gauss,7321.237332093673,0.25118864315095796,0.4539010524749756
15,dataset_oth_db,1391,bytesWritten,1526,47,Pelt,Gauss,7412.3486024752065,3.981071705534969,0.3355233669281006
16,dataset_oth_db,1391,bytesWritten,1526,14,Pelt,Gauss,7770.428046214838,63.0957344480193,0.5885283946990967
17,dataset_oth_db,1391,bytesWritten,1526,10,Pelt,Gauss,9594.421414154378,1000.0,0.7319915294647217
18,dataset_oth_db,1391,bytesWritten,1526,4,Pelt,Linear,5.424157085602278e+20,0.001,2.033336639404297
19,dataset_oth_db,1391,bytesWritten,1526,4,Pelt,Linear,5.424157085602278e+20,0.015848931924611134,1.7931742668151855
20,dataset_oth_db,1391,bytesWritten,1526,4,Pelt,Linear,5.424157085602278e+20,0.25118864315095796,1.7897453308105469
21,dataset_oth_db,1391,bytesWritten,1526,4,Pelt,Linear,5.424157085602278e+20,3.981071705534969,1.7890472412109375
22,dataset_oth_db,1391,bytesWritten,1526,4,Pelt,Linear,5.424157085602278e+20,63.0957344480193,1.7878499031066895
23,dataset_oth_db,1391,bytesWritten,1526,1,Pelt,Linear,5.424157085602278e+20,1000.0,1.482849359512329
24,dataset_oth_db,1391,bytesWritten,1526,89,Pelt,Clinear,3.569390483559191e+18,0.001,0.34993767738342285
25,dataset_oth_db,1391,bytesWritten,1526,89,Pelt,Clinear,3.569390483559191e+18,0.015848931924611134,0.3488423824310303
26,dataset_oth_db,1391,bytesWritten,1526,89,Pelt,Clinear,3.569390483559191e+18,0.25118864315095796,0.34957075119018555
27,dataset_oth_db,1391,bytesWritten,1526,89,Pelt,Clinear,3.569390483559191e+18,3.981071705534969,0.34943056106567383
