,dataset,jobid,timeserie,signal_length,n_brkpts,kernel,computation_time,loss
0,dataset_oth_db,1391,bytesWritten,1526,6,linear,0.1976001262664795,2.9662558520612874e+18
1,dataset_oth_db,1391,bytesWritten,1526,6,rbf,0.3272886276245117,47.56522430318421
2,dataset_oth_db,1391,bytesRead,1526,2,linear,0.19092679023742676,1409961111130.9285
3,dataset_oth_db,1391,bytesRead,1526,3,rbf,0.361865758895874,17.124252701266443
4,dataset_oth_db,1335,bytesWritten,1549,6,linear,0.20179414749145508,2.3117753144300854e+17
5,dataset_oth_db,1335,bytesWritten,1549,6,rbf,0.33677244186401367,68.92687644159886
6,dataset_oth_db,1335,bytesRead,1549,22,linear,0.19904303550720215,365033255856152.75
7,dataset_oth_db,1335,bytesRead,1549,28,rbf,0.3192129135131836,248.14788973927236
8,dataset_oth_db,1439,bytesWritten,1536,6,linear,0.19884610176086426,2.5288484590467517e+17
9,dataset_oth_db,1439,bytesWritten,1536,6,rbf,0.32921409606933594,55.7189370857719
10,dataset_oth_db,1439,bytesRead,1536,2,linear,0.19330453872680664,1409961139052.7693
11,dataset_oth_db,1439,bytesRead,1536,3,rbf,0.3725552558898926,17.223754363775186
12,dataset_oth_db,1512,bytesWritten,390,6,linear,0.020228147506713867,3.100591432024275e+17
13,dataset_oth_db,1512,bytesWritten,390,6,rbf,0.022774934768676758,20.94297171762585
14,dataset_oth_db,1512,bytesRead,390,2,linear,0.019776582717895508,1409961054402.0
15,dataset_oth_db,1512,bytesRead,390,3,rbf,0.02144932746887207,5.820863840319477
16,dataset_oth_db,1476,bytesWritten,385,6,linear,0.019832372665405273,3.165569860042388e+18
17,dataset_oth_db,1476,bytesWritten,385,6,rbf,0.020917654037475586,17.14754290909465
18,dataset_oth_db,1476,bytesRead,385,2,linear,0.019938230514526367,1409961093776.8572
19,dataset_oth_db,1476,bytesRead,385,3,rbf,0.020992755889892578,5.771113009065317
20,dataset_oth_db,1334,bytesWritten,1550,6,linear,0.2012779712677002,3.437126052514595e+17
21,dataset_oth_db,1334,bytesWritten,1550,6,rbf,0.33157992362976074,77.14573426888253
22,dataset_oth_db,1334,bytesRead,1550,30,linear,0.20098662376403809,351351284185096.5
23,dataset_oth_db,1334,bytesRead,1550,30,rbf,0.3202991485595703,247.4963985562875
24,dataset_oth_db,1489,bytesWritten,385,6,linear,0.019923686981201172,3.246895413376906e+18
25,dataset_oth_db,1489,bytesWritten,385,6,rbf,0.022286176681518555,18.580342149244398
