,dataset,file_name,jobid,timeserie,signal_length,n_cluster,change_points,computation_time
0,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1391.csv,1391,bytesWritten,1526,2,6,1.0519380569458008
1,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1391.csv,1391,bytesRead,1526,2,1,0.9473185539245605
2,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1335.csv,1335,bytesWritten,1549,2,6,0.9379851818084717
3,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1335.csv,1335,bytesRead,1549,2,275,0.85001540184021
4,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1439.csv,1439,bytesWritten,1536,2,6,0.905632495880127
5,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1439.csv,1439,bytesRead,1536,2,1,0.8945529460906982
6,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1512.csv,1512,bytesWritten,390,2,7,0.7033228874206543
7,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1512.csv,1512,bytesRead,390,2,1,0.7622826099395752
8,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1476.csv,1476,bytesWritten,385,2,6,0.7028236389160156
9,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1476.csv,1476,bytesRead,385,2,1,0.7721354961395264
10,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1334.csv,1334,bytesWritten,1550,2,7,0.9783008098602295
11,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1334.csv,1334,bytesRead,1550,2,275,0.9189634323120117
12,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1489.csv,1489,bytesWritten,385,2,7,0.6906440258026123
13,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1489.csv,1489,bytesRead,385,2,1,0.7643241882324219
14,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1336.csv,1336,bytesWritten,1555,2,6,0.9694559574127197
15,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1336.csv,1336,bytesRead,1555,2,281,0.9547092914581299
16,dataset_oth_db,/home_nfs/phamtt/IO-SEA/iosea-wp3-recommandation-system/dataset_generation/dataset_generation/dataset_oth_db/job_1330.csv,1330,bytesWritten,1552,2,6,0.8267474174499512
