,duration,size
5acf6cce68db663d8a76b221,1056.0,425561.0
5acf6cce68db663d91483941,1061.0,453540.0
5acf70f068db663f9a628d81,996.0,406027.0
5acf710d68db663fc022d331,1001.0,480833.0
5acf74dd68db66412f4af951,997.0,403309.0
5acf74fb68db66415816ff61,996.0,436141.0
5acf784568db6642d3041371,1001.0,407659.0
5acf78c368db66432b57b641,1002.0,405573.0
5acf78e168db66435b5b8301,1006.0,405238.0
5acf7c2e68db6648654b0e61,1013.0,453671.0
5acf7cc668db6648b97c03e1,1006.0,476294.0
5acf7ce568db6648f06aa2f1,1037.0,415822.0
5acf802d68db664a2151ecd1,1044.0,617098.0
5acf80c368db664a6f1ae231,1005.0,402458.0
5acf80f268db664aa21e3a91,1038.0,421155.0
5acf844168db664bed259f11,1002.0,430152.0
5acf84b968db664c38126161,999.0,492819.0
5acf851968db664c77765471,1014.0,405252.0
5acf882b68db664da2338a21,1011.0,419011.0
5acf88a168db664de74ce571,999.0,431620.0
5acf891568db664e366f97c1,1009.0,412142.0
5acf8c2168db664f472976e1,1009.0,505312.0
5acf8c9968db664f922958e1,1003.0,409656.0
5acf8d1268db664fdb3d9f81,1011.0,462778.0
5acf901d68db6650f635dda1,1009.0,401793.0
5acf909568db66514d6435b1,999.0,398252.0
5acf910d68db66519f7e89a1,1002.0,609722.0
5acf940e68db6652bb0870b1,999.0,402507.0
5acf949168db66530069efd1,999.0,405326.0
5acf950968db665345505031,1001.0,499199.0
5acf97f568db66545a0c3fa1,1001.0,427703.0
5acf988e68db6654a670b3f1,1001.0,404882.0
5acf990668db6655032bfed1,1002.0,413634.0
5acf9bde68db665613467741,1000.0,438732.0
5acf9c8968db66566474f401,1000.0,405946.0
5acf9d0268db6656ad08e6c1,1003.0,488944.0
5acf9fd268db6657c60d71d1,1002.0,414570.0
5acfa08668db6658217a6a91,1000.0,443203.0
5acfa0fe68db6658661264d1,1004.0,404741.0
5acfa3bc68db66596b2a69e1,1006.0,407222.0
5acfa48268db665a0f579251,188.0,305429.0
5acfa4fa68db665a5c3016e1,174.0,96658.0
5acfa55368db665aa632d901,167.0,179729.0
5acfa5ad68db665ae5433061,164.0,100022.0
5acfa60768db665b1e25cc51,163.0,128332.0
5acfa66268db665b5d6d8aa1,164.0,97599.0
5acfa6ab68db665b945b0d41,162.0,96473.0
5acfa71668db665be91ff2f1,165.0,126097.0
5acfa75268db665c1c6eb2b1,166.0,99457.0
5acfa7aa68db665c5d0ddd71,171.0,170816.0
5acfa7c968db665c860e87c1,164.0,93219.0
5acfa80568db665cbf4a6231,164.0,130354.0
5acfa85568db665cff1aaff1,164.0,95516.0
5acfa87d68db665d286b13f1,164.0,92809.0
5acfa8b968db665d5d115421,167.0,112386.0
5acfa8f968db665d9140cdd1,165.0,89841.0
5acfa93168db665dca43f0f1,165.0,301105.0
5acfa96d68db665df97b6191,165.0,175027.0
5acfa99e68db665e2d7d0361,166.0,94749.0
5acfa9eb68db665e7c3aeb61,171.0,125628.0
5acfaa2268db665eac414871,171.0,98958.0
5acfaa4468db665edd2e90d1,165.0,101771.0
5acfaa9a68db665f1643b301,166.0,156449.0
5acfaad668db665f49559e11,173.0,101960.0
5acfaae968db665f731a86a1,167.0,174314.0
5acfab4e68db665fb24eabe1,175.0,94056.0
5acfab8a68db665feb1dcc11,162.0,103682.0
5acfab9068db6660156d76f1,165.0,135424.0
5acfac0268db66605568fcf1,180.0,99535.0
5acfac3568db66609a6f63e1,176.0,102538.0
5acfac3568db66609f67bdc1,174.0,125108.0
5acfacd068db666112405dd1,172.0,175784.0
5acface368db6661366e4b71,166.0,320705.0
5acfacf268db66616c606791,166.0,94496.0
5acfad7c68db6661bb33b591,170.0,99318.0
5acfad8968db6661e7760e41,166.0,128284.0
5acfad9a68db6662105dc361,171.0,104176.0
5acfae2768db6662551d0e91,164.0,104477.0
5acfae2f68db66627f714e91,175.0,128526.0
5acfae6368db6662b23658e1,172.0,189277.0
5acfaede68db66630b604fd1,472.0,213303.0
5acfaede68db66631a2bd441,496.0,211850.0
5acfaf1a68db666354441e81,489.0,249829.0
5acfb0d368db66641a296531,378.0,177834.0
5acfb0d368db6664235f7431,366.0,247110.0
5acfb10b68db66646127f701,396.0,180055.0
5acfb24d68db6664fa055541,500.0,247027.0
5acfb24d68db6665075b02d1,459.0,199428.0
5acfb29768db6665514aed41,539.0,448607.0
5acfb43668db6665ea3bb991,507.0,228647.0
