,timestamp,bytesRead,bytesWritten,processCount,ioActiveProcessCount,min,max,accelerated,accelPossible,accelImpossible,accessRandRead,accessSeqRead,accessStrRead,accessUnclRead,accessRandWrite,accessSeqWrite,accessStrWrite,accessUnclWrite,filesCreated,filesDeleted,filesRO,filesWO,filesRW,IOSizeReadRange0,IOSizeReadRange1,IOSizeReadRange2,IOSizeReadRange3,IOSizeReadRange4,IOSizeReadRange5,IOSizeReadRange6,IOSizeWriteRange0,IOSizeWriteRange1,IOSizeWriteRange2,IOSizeWriteRange3,IOSizeWriteRange4,IOSizeWriteRange5,IOSizeWriteRange6,IODurationReadRange0,IODurationReadRange1,IODurationReadRange2,IODurationReadRange3,IODurationReadRange4,IODurationReadRange5,IODurationReadRange6,IODurationReadRange7,IODurationReadRange8,IODurationReadRange9,IODurationReadRange10,IODurationReadRange11,IODurationReadRange12,IODurationReadRange13,IODurationReadRange14,IODurationReadRange15,IODurationWriteRange0,IODurationWriteRange1,IODurationWriteRange2,IODurationWriteRange3,IODurationWriteRange4,IODurationWriteRange5,IODurationWriteRange6,IODurationWriteRange7,IODurationWriteRange8,IODurationWriteRange9,IODurationWriteRange10,IODurationWriteRange11,IODurationWriteRange12,IODurationWriteRange13,IODurationWriteRange14,IODurationWriteRange15,operationRead,operationWrite
0,1587556105000,4785954,30924,3,16,2,40,973,0,11,0,0,0,762,0,0,0,222,8,2,313,18,0,277,189,294,2,0,0,0,58,162,2,0,0,0,0,32,121,409,192,8,0,0,0,0,0,0,0,0,0,0,0,0,5,172,34,0,11,0,0,0,0,0,0,0,0,0,0,762,222
1,1587556110000,124092187,402410,26,19,2,40,20949,6,54,0,14280,0,6607,0,0,0,123,53,7,1559,49,0,2897,3589,14400,0,0,0,0,17,82,24,0,0,0,0,1,15336,4432,1093,12,1,1,4,6,0,0,0,0,0,0,0,0,0,11,67,2,43,0,0,0,0,0,0,0,0,0,0,20886,123
2,1587556115000,1259748967,259511854,34,21,2,40,112148,2,13,0,111640,40,201,0,160,0,121,23,11,36,21,0,24,21,111797,3,37,0,0,252,22,0,0,4,3,0,4,109137,2652,46,2,3,33,3,2,0,0,0,0,0,0,0,0,22,224,22,2,4,0,4,0,2,0,1,0,0,0,0,111882,281
3,1587556120000,1290366400,0,25,5,2,40,121670,0,0,0,121600,0,70,0,0,0,0,0,0,6,0,0,0,0,121649,0,20,1,0,0,0,0,0,0,0,0,0,121232,415,1,1,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121670,0
4,1587556125000,1209851904,0,25,4,2,40,122107,0,0,0,122040,0,68,0,0,0,0,0,0,4,0,0,0,0,122087,0,20,0,0,0,0,0,0,0,0,0,0,121705,382,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122107,0
5,1587556130000,1080104644,0,25,4,2,40,106277,0,1,0,106200,0,77,0,0,0,0,0,0,10,0,0,4,6,106248,0,20,0,0,0,0,0,0,0,0,0,0,105799,451,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106278,0
6,1587556135000,382468352,0,25,2,2,40,21110,0,1,0,21080,0,31,0,0,0,0,0,0,3,0,0,2,1,21088,0,20,0,0,0,0,0,0,0,0,0,0,20732,356,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111,0
7,1587556140000,104857600,0,25,1,2,40,10,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
8,1587556145000,19402903,13890233,25,1,2,40,9,0,1,0,0,0,7,0,0,0,3,1,0,2,1,0,4,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3
9,1587556150000,0,65055364,25,1,2,40,14,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,14
10,1587556155000,0,69605924,25,1,2,40,15,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,15
11,1587556160000,0,64979240,25,1,2,40,14,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,14
12,1587556165000,85558721,64803050,25,2,2,40,196,0,1,0,160,0,19,0,0,0,18,1,0,2,2,0,1,0,177,0,0,1,0,1,3,0,0,14,0,0,0,172,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,14,0,0,0,0,0,0,0,0,179,18
